Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
97,tt0072890,2022-03-23,2022-03-23,,"Dog Day Afternoon","Dog Day Afternoon",https://www.imdb.com/title/tt0072890/,Movie,8.0,125,1975,"Biography, Crime, Drama, Thriller",274065,1975-12-25,"Sidney Lumet"
98,tt2442560,2022-03-25,2022-03-25,,"Peaky Blinders","Peaky Blinders",https://www.imdb.com/title/tt2442560/,TV Series,8.8,60,2013,"Crime, Drama",656624,2014-09-30,
99,tt1515091,2022-03-25,2022-03-25,,"Sherlock Holmes: A Game of Shadows","Sherlock Holmes: A Game of Shadows",https://www.imdb.com/title/tt1515091/,Movie,7.4,129,2011,"Action, Adventure, Mystery",482120,2011-12-16,"Guy Ritchie"
100,tt18393972,2022-03-25,2022-03-25,,"Trivia Quest","Trivia Quest",https://www.imdb.com/title/tt18393972/,TV Series,5.8,9,2022,"Animation, Short, Adventure, Family, Fantasy",270,2022-04-01,
101,tt15479902,2022-03-25,2022-03-25,,"Trust No One: The Hunt for the Crypto King","Trust No One: The Hunt for the Crypto King",https://www.imdb.com/title/tt15479902/,Movie,6.3,90,2022,"Documentary, Crime",6120,2022-03-30,"Luke Sewell"
102,tt1302006,2022-03-25,2022-03-25,,"The Irishman","The Irishman",https://www.imdb.com/title/tt1302006/,Movie,7.8,209,2019,"Biography, Crime, Drama",433443,2019-11-27,"Martin Scorsese"
103,tt0099685,2022-03-25,2022-03-25,,"Goodfellas","Goodfellas",https://www.imdb.com/title/tt0099685/,Movie,8.7,145,1990,"Biography, Crime, Drama",1263902,1990-09-21,"Martin Scorsese"
104,tt0119214,2022-03-25,2022-03-25,,"Gone Fishin'","Gone Fishin'",https://www.imdb.com/title/tt0119214/,Movie,4.8,94,1997,"Comedy, Crime",10628,1997-05-30,"Christopher Cain"
105,tt0081398,2022-03-25,2022-03-25,,"Raging Bull","Raging Bull",https://www.imdb.com/title/tt0081398/,Movie,8.1,129,1980,"Biography, Drama, Sport",381775,1980-12-19,"Martin Scorsese"
106,tt0085470,2022-03-25,2022-03-25,,"Easy Money","Easy Money",https://www.imdb.com/title/tt0085470/,Movie,6.2,95,1983,"Comedy",10209,1983-08-19,"James Signorelli"
107,tt0106489,2022-03-25,2022-03-25,,"A Bronx Tale","A Bronx Tale",https://www.imdb.com/title/tt0106489/,Movie,7.8,121,1993,"Crime, Drama",162557,1993-10-01,"Robert De Niro"
